TotalGrossArea,FID
6225,1001
2642,1002
31596,1003
1760,1004
2676,1005
2184,1006
3699,1007
7736,1008
62852,1009
7454,1010
3719,1011
5268,1012
6542,1013
2893,1014
2768,1015
1680,1016
3942,1017
4260,1018
3292,1019
3524,1020
16310,1021
1952,1022
3666,1023
2388,1024
2552,1025
4308,1026
4278,1027
5875,1028
2185,1029
1540,1030
3240,1031
3114,1032
2362,1033
2124,1034
5136,1035
5376,1036
3458,1037
4642,1038
3086,1039
4668,1040
3186,1041
5569,1042
4460,1043
1896,1044
0,1045
6000,1046
2764,1047
3662,1048
31169,1049
1728,1050
2551,1051
3540,1052
1868,1053
3804,1054
3118,1055
7500,1056
4492,1057
2907,1058
3307,1059
917,1060
3343,1061
2233,1062
1568,1063
4835,1064
0,1065
3732,1066
2644,1067
3792,1068
3260,1069
65600,1070
0,1071
3345,1072
3882,1073
676,1074
13962,1075
2742,1076
3956,1077
2928,1078
4701,1079
3976,1080
4590,1081
3746,1082
2246,1083
724,1084
3651,1085
4062,1086
3302,1087
4886,1088
1520,1089
9196,1090
3314,1091
1980,1092
2634,1093
2928,1094
4814,1095
2140,1096
1568,1097
4232,1098
0,1099
1190,1100
2924,1101
3081,1102
3724,1103
4540,1104
2242,1105
2120,1106
2889,1107
2950,1108
5143,1109
3450,1110
3924,1111
2336,1112
0,1113
3757,1114
2363,1115
1896,1116
0,1117
3869,1118
2817,1119
3152,1120
2810,1121
2621,1122
3400,1123
6046,1124
3069,1125
2586,1126
3846,1127
2910,1128
5206,1129
2922,1130
3192,1131
6352,1132
5937,1133
10900,1134
1408,1135
3110,1136
0,1137
912,1138
5218,1139
3824,1140
2632,1141
3502,1142
2486,1143
13644,1144
3008,1145
2359,1146
2228,1147
4396,1148
1680,1149
1958,1150
3904,1151
3250,1152
2112,1153
1568,1154
5226,1155
8838,1156
0,1157
4664,1158
2132,1159
9294,1160
6354,1161
3640,1162
2754,1163
5670,1164
3246,1165
0,1166
2138,1167
750,1168
4180,1169
2667,1170
5263,1171
4070,1172
4256,1173
2048,1174
2960,1175
0,1176
6220,1177
5346,1178
2380,1179
3200,1180
2418,1181
3046,1182
2820,1183
1504,1184
2759,1185
2232,1186
1896,1187
2792,1188
5036,1189
3028,1190
4330,1191
3530,1192
4362,1193
2728,1194
4182,1195
3404,1196
4090,1197
1100,1198
5432,1199
50673,1200
4688,1201
3887,1202
3603,1203
3218,1204
5530,1205
0,1206
49625,1207
3268,1208
0,1209
1540,1210
2530,1211
1952,1212
0,1213
4011,1214
3383,1215
3012,1216
1882,1217
4942,1218
2212,1219
12208,1220
2760,1221
0,1222
3062,1223
3354,1224
2874,1225
2992,1226
2767,1227
6675,1228
37478,1229
4080,1230
3863,1231
3201,1232
2381,1233
2186,1234
1680,1235
3689,1236
4395,1237
4284,1238
6027,1239
2744,1240
3950,1241
3779,1242
3692,1243
6405,1244
3252,1245
1920,1246
4476,1247
4370,1248
0,1249
2030,1250
17303,1251
2824,1252
2208,1253
2994,1254
4284,1255
5706,1256
42180,1257
1680,1258
3228,1259
4853,1260
1307,1261
5016,1262
3816,1263
2688,1264
3136,1265
3051,1266
2038,1267
0,1268
2940,1269
3278,1270
3228,1271
2038,1272
6906,1273
4464,1274
3238,1275
3988,1276
2241,1277
6312,1278
3361,1279
3833,1280
0,1281
4148,1282
3056,1283
2996,1284
3108,1285
10075,1286
2036,1287
1456,1288
5823,1289
3218,1290
4511,1291
4498,1292
8439,1293
6700,1294
2454,1295
3494,1296
2531,1297
7368,1298
5712,1299
4424,1300
3450,1301
3284,1302
6197,1303
2582,1304
6452,1305
3108,1306
2816,1307
5310,1308
24840,1309
4315,1310
2368,1311
4000,1312
1744,1313
2528,1314
2124,1315
2166,1316
1452,1317
5234,1318
2380,1319
4040,1320
3045,1321
2574,1322
2512,1323
2245,1325
2904,1326
5504,1327
2380,1328
1580,1329
1680,1330
4566,1331
4576,1332
2368,1333
4033,1334
1968,1335
3224,1336
