HeatFuel,FID
GAS,1001
GAS,1002
GAS,1003
OIL,1004
GAS,1005
GAS,1006
GAS,1007
OIL,1008
GAS,1009
GAS,1010
GAS,1011
GAS,1012
GAS,1013
GAS,1014
OIL,1015
GAS,1016
GAS,1017
GAS,1018
GAS,1019
GAS,1020
GAS,1021
GAS,1022
OIL,1023
OIL,1024
OIL,1025
GAS,1026
GAS,1027
GAS,1028
GAS,1029
GAS,1030
GAS,1031
GAS,1032
GAS,1033
GAS,1034
GAS,1035
ELECTRIC,1036
GAS,1037
GAS,1038
GAS,1039
OIL,1040
GAS,1041
GAS,1042
GAS,1043
GAS,1044
,1045
GAS,1046
OIL,1047
GAS,1048
GAS,1049
GAS,1050
GAS,1051
GAS,1052
GAS,1053
GAS,1054
GAS,1055
GAS,1056
OIL,1057
GAS,1058
GAS,1059
GAS,1060
GAS,1061
GAS,1062
OIL,1063
GAS,1064
,1065
GAS,1066
GAS,1067
GAS,1068
OIL,1069
GAS,1070
,1071
OIL,1072
GAS,1073
GAS,1074
GAS,1075
GAS,1076
GAS,1077
GAS,1078
GAS,1079
GAS,1080
GAS,1081
GAS,1082
ELECTRIC,1083
GAS,1084
GAS,1085
OIL,1086
OIL,1087
GAS,1088
OIL,1089
GAS,1090
GAS,1091
OIL,1092
GAS,1093
GAS,1094
OIL,1095
GAS,1096
GAS,1097
GAS,1098
,1099
GAS,1100
GAS,1101
GAS,1102
GAS,1103
GAS,1104
GAS,1105
OIL,1106
GAS,1107
GAS,1108
GAS,1109
GAS,1110
OIL,1111
GAS,1112
,1113
GAS,1114
GAS,1115
GAS,1116
,1117
GAS,1118
OIL,1119
GAS,1120
OIL,1121
GAS,1122
GAS,1123
GAS,1124
GAS,1125
GAS,1126
OIL,1127
GAS,1128
GAS,1129
GAS,1130
OIL,1131
GAS,1132
GAS,1133
GAS,1134
GAS,1135
GAS,1136
,1137
ELECTRIC,1138
GAS,1139
GAS,1140
GAS,1141
GAS,1142
GAS,1143
GAS,1144
GAS,1145
GAS,1146
GAS,1147
GAS,1148
GAS,1149
GAS,1150
GAS,1151
GAS,1152
GAS,1153
GAS,1154
GAS,1155
GAS,1156
,1157
GAS,1158
GAS,1159
GAS,1160
GAS,1161
OIL,1162
GAS,1163
GAS,1164
OIL,1165
,1166
GAS,1167
GAS,1168
GAS,1169
OIL,1170
GAS,1171
GAS,1172
GAS,1173
GAS,1174
GAS,1175
,1176
GAS,1177
OIL,1178
GAS,1179
GAS,1180
GAS,1181
GAS,1182
GAS,1183
GAS,1184
GAS,1185
OIL,1186
GAS,1187
GAS,1188
GAS,1189
GAS,1190
GAS,1191
GAS,1192
OIL,1193
GAS,1194
GAS,1195
GAS,1196
GAS,1197
GAS,1198
GAS,1199
GAS,1200
GAS,1201
GAS,1202
GAS,1203
GAS,1204
GAS,1205
,1206
GAS,1207
GAS,1208
,1209
GAS,1210
GAS,1211
GAS,1212
,1213
OIL,1214
GAS,1215
GAS,1216
GAS,1217
GAS,1218
GAS,1219
GAS,1220
GAS,1221
,1222
GAS,1223
GAS,1224
GAS,1225
GAS,1226
GAS,1227
GAS,1228
OIL,1229
GAS,1230
GAS,1231
GAS,1232
NONE,1233
OIL,1234
GAS,1235
GAS,1236
GAS,1237
GAS,1238
GAS,1239
GAS,1240
GAS,1241
GAS,1242
OIL,1243
GAS,1244
GAS,1245
OIL,1246
OIL,1247
GAS,1248
,1249
GAS,1250
GAS,1251
PROPANE,1252
OIL,1253
GAS,1254
GAS,1255
GAS,1256
OIL,1257
GAS,1258
GAS,1259
GAS,1260
GAS,1261
GAS,1262
GAS,1263
GAS,1264
GAS,1265
GAS,1266
GAS,1267
,1268
GAS,1269
GAS,1270
GAS,1271
GAS,1272
GAS,1273
GAS,1274
GAS,1275
GAS,1276
GAS,1277
GAS,1278
GAS,1279
GAS,1280
,1281
GAS,1282
GAS,1283
OIL,1284
GAS,1285
OIL,1286
ELECTRIC,1287
GAS,1288
GAS,1289
GAS,1290
GAS,1291
GAS,1292
GAS,1293
GAS,1294
GAS,1295
OIL,1296
GAS,1297
GAS,1298
GAS,1299
GAS,1300
GAS,1301
ELECTRIC,1302
GAS,1303
GAS,1304
GAS,1305
GAS,1306
OIL,1307
OIL,1308
GAS,1309
GAS,1310
GAS,1311
GAS,1312
GAS,1313
OIL,1314
GAS,1315
GAS,1316
GAS,1317
GAS,1318
GAS,1319
GAS,1320
GAS,1321
OIL,1322
OIL,1323
GAS,1325
GAS,1326
GAS,1327
GAS,1328
OIL,1329
GAS,1330
GAS,1331
GAS,1332
GAS,1333
GAS,1334
GAS,1335
GAS,1336
OIL,1337
GAS,1338
GAS,1339
PROPANE,1340
GAS,1341
OIL,1342
GAS,1343
OIL,1344
GAS,1345
GAS,1346
GAS,1347
GAS,1348
GAS,1349
GAS,1350
GAS,1351
GAS,1352
GAS,1353
GAS,1354
GAS,1355
GAS,1356
OIL,1357
GAS,1358
GAS,1359
GAS,1360
GAS,1361
GAS,1362
GAS,1363
GAS,1364
GAS,1365
GAS,1366
GAS,1367
GAS,1368
GAS,1369
GAS,1370
GAS,1371
GAS,1372
GAS,1373
GAS,1374
GAS,1375
OIL,1376
GAS,1377
,1378
OIL,1379
GAS,1380
GAS,1381
GAS,1382
GAS,1383
GAS,1384
GAS,1385
GAS,1386
GAS,1387
GAS,1388
GAS,1389
ELECTRIC,1390
GAS,1391
GAS,1392
GAS,1393
GAS,1394
GAS,1395
GAS,1396
GAS,1397
GAS,1398
GAS,1399
GAS,1400
GAS,1401
GAS,1402
GAS,1403
GAS,1404
GAS,1405
GAS,1406
GAS,1407
GAS,1408
GAS,1409
GAS,1410
GAS,1411
GAS,1412
GAS,1413
GAS,1414
GAS,1415
GAS,1416
GAS,1417
GAS,1418
GAS,1419
GAS,1420
GAS,1421
GAS,1422
GAS,1423
GAS,1424
GAS,1425
GAS,1426
GAS,1427
GAS,1428
GAS,1429
GAS,1430
GAS,1431
GAS,1432
GAS,1433
GAS,1434
GAS,1435
,1436
GAS,1437
GAS,1438
GAS,1439
GAS,1441
GAS,1442
GAS,1443
OIL,1444
GAS,1445
GAS,1446
OIL,1447
GAS,1448
GAS,1449
GAS,1450
GAS,1451
ELECTRIC,1452
GAS,1453
GAS,1454
OIL,1455
GAS,1456
GAS,1457
GAS,1458
OIL,1459
GAS,1460
GAS,1461
GAS,1462
GAS,1463
GAS,1464
GAS,1465
GAS,1466
GAS,1467
GAS,1468
,1469
GAS,1470
GAS,1471
GAS,1472
OIL,1473
GAS,1474
GAS,1475
GAS,1476
GAS,1477
GAS,1478
GAS,1479
GAS,1480
GAS,1481
GAS,1482
GAS,1483
GAS,1484
OIL,1485
GAS,1486
GAS,1487
GAS,1488
ELECTRIC,1489
GAS,1490
GAS,1491
GAS,1492
GAS,1493
,1494
GAS,1495
GAS,1496
GAS,1497
GAS,1498
,1499
GAS,1500
GAS,1501
GAS,1502
OIL,1503
GAS,1504
GAS,1505
OIL,1506
GAS,1507
,1508
GAS,1509
GAS,1510
GAS,1511
GAS,1512
,1513
GAS,1514
OIL,1515
GAS,1516
GAS,1517
GAS,1518
GAS,1519
GAS,1520
GAS,1521
GAS,1522
GAS,1523
GAS,1524
GAS,1525
GAS,1526
GAS,1527
GAS,1528
GAS,1529
GAS,1530
GAS,1531
GAS,1532
GAS,1533
GAS,1534
GAS,1535
GAS,1536
GAS,1537
,1538
GAS,1539
GAS,1540
GAS,1541
GAS,1542
GAS,1543
,1544
GAS,1545
ELECTRIC,1546
GAS,1547
GAS,1548
OIL,1549
GAS,1550
GAS,1551
GAS,1552
GAS,1553
GAS,1554
GAS,1555
GAS,1556
GAS,1557
GAS,1558
GAS,1559
GAS,1560
GAS,1561
ELECTRIC,1562
OIL,1563
GAS,1564
GAS,1565
GAS,1566
GAS,1567
GAS,1568
GAS,1569
GAS,1570
GAS,1571
GAS,1572
GAS,1573
GAS,1574
GAS,1575
GAS,1576
GAS,1577
GAS,1578
GAS,1579
GAS,1580
GAS,1581
GAS,1582
GAS,1583
GAS,1584
GAS,1585
GAS,1586
GAS,1587
GAS,1588
GAS,1589
OIL,1590
GAS,1591
GAS,1592
GAS,1593
GAS,1594
ELECTRIC,1595
,1596
OIL,1597
GAS,1598
GAS,1599
OIL,1600
GAS,1601
GAS,1602
GAS,1603
GAS,1604
GAS,1605
ELECTRIC,1606
GAS,1607
ELECTRIC,1608
OIL,1609
GAS,1610
GAS,1611
GAS,1612
GAS,1613
GAS,1614
ELECTRIC,1615
GAS,1616
OIL,1617
GAS,1618
GAS,1619
GAS,1620
GAS,1621
GAS,1622
GAS,1623
GAS,1624
GAS,1625
OIL,1626
GAS,1627
GAS,1628
GAS,1629
ELECTRIC,1630
GAS,1631
GAS,1632
ELECTRIC,1633
GAS,1634
GAS,1635
GAS,1636
GAS,1637
GAS,1638
,1639
OIL,1640
GAS,1641
GAS,1642
GAS,1643
GAS,1644
GAS,1645
GAS,1646
GAS,1647
GAS,1648
GAS,1649
GAS,1650
GAS,1651
GAS,1652
OIL,1653
OIL,1654
GAS,1655
,1656
GAS,1657
OIL,1658
GAS,1659
GAS,1660
GAS,1661
GAS,1662
GAS,1663
GAS,1664
GAS,1665
ELECTRIC,1666
GAS,1667
GAS,1668
GAS,1669
GAS,1670
GAS,1671
OIL,1672
GAS,1673
GAS,1674
GAS,1675
GAS,1676
GAS,1677
GAS,1678
GAS,1679
GAS,1680
GAS,1681
GAS,1682
GAS,1683
GAS,1684
OIL,1685
GAS,1686
GAS,1687
GAS,1688
,1689
GAS,1690
GAS,1691
GAS,1692
ELECTRIC,1693
OIL,1694
GAS,1695
GAS,1696
GAS,1697
GAS,1698
GAS,1699
,1700
GAS,1701
GAS,1702
GAS,1703
GAS,1704
GAS,1705
GAS,1706
GAS,1707
GAS,1708
GAS,1709
,1710
GAS,1711
,1712
GAS,1713
ELECTRIC,1714
GAS,1715
GAS,1716
GAS,1717
GAS,1718
GAS,1719
GAS,1720
OIL,1721
OIL,1722
GAS,1723
GAS,1724
GAS,1725
GAS,1726
GAS,1727
GAS,1728
GAS,1729
GAS,1730
GAS,1731
GAS,1732
,1733
GAS,1734
GAS,1735
GAS,1736
GAS,1737
GAS,1738
GAS,1739
GAS,1740
GAS,1741
GAS,1742
,1743
GAS,1744
GAS,1745
GAS,1746
GAS,1747
GAS,1748
GAS,1749
GAS,1750
GAS,1751
GAS,1752
GAS,1753
OIL,1754
GAS,1755
GAS,1756
GAS,1757
GAS,1758
OIL,1759
GAS,1760
OIL,1761
ELECTRIC,1762
GAS,1763
GAS,1764
GAS,1765
GAS,1766
GAS,1767
GAS,1768
GAS,1769
OIL,1770
