HeatType,FID
"HOT AIR",1001
"HOT AIR",1002
"HOT AIR",1003
"HOT AIR",1004
"HOT WATER",1005
"HOT WATER",1006
"HOT AIR",1007
"HOT AIR",1008
"HOT WATER",1009
"HOT WATER",1010
"HOT WATER",1011
"HOT AIR",1012
"HOT AIR",1013
"HOT WATER",1014
"HOT AIR",1015
"HOT WATER",1016
"HOT WATER",1017
"HOT WATER",1018
"HOT WATER",1019
"HOT AIR",1020
"HOT WATER",1021
"HOT WATER",1022
"HOT WATER",1023
"HOT WATER",1024
"HOT AIR",1025
"HOT WATER",1026
"SPACE HEAT",1027
"HOT WATER",1028
"HOT AIR",1029
"HOT WATER",1030
"HOT AIR",1031
"HOT AIR",1032
"HOT AIR",1033
"HOT WATER",1034
"HOT WATER",1035
ELECTRIC,1036
"SPACE HEAT",1037
"HOT WATER",1038
"HOT AIR",1039
"HOT WATER",1040
"HOT WATER",1041
"HOT AIR",1042
"HOT WATER",1043
"HOT WATER",1044
,1045
"HOT WATER",1046
"HOT AIR",1047
"HOT AIR",1048
"HOT AIR",1049
"SPACE HEAT",1050
"HOT AIR",1051
"SPACE HEAT",1052
"HOT AIR",1053
"HOT AIR",1054
,1055
"HOT WATER",1056
"HOT WATER",1057
"HOT WATER",1058
"HOT WATER",1059
"HEAT PUMP",1060
"HOT AIR",1061
"SPACE HEAT",1062
"HOT AIR",1063
"HOT WATER",1064
,1065
"HOT WATER",1066
"HOT AIR",1067
"HOT AIR",1068
"HOT AIR",1069
"HOT AIR",1070
,1071
"HOT WATER",1072
"HOT AIR",1073
"HOT WATER",1074
"HOT AIR",1075
"HOT WATER",1076
"HOT AIR",1077
"SPACE HEAT",1078
"HOT WATER",1079
"HOT WATER",1080
"HOT WATER",1081
"HOT AIR",1082
ELECTRIC,1083
"HEAT PUMP",1084
"HOT AIR",1085
"HOT WATER",1086
"HOT AIR",1087
"HOT WATER",1088
"HOT AIR",1089
"HOT WATER",1090
"HOT WATER",1091
"HOT AIR",1092
"HOT WATER",1093
"SPACE HEAT",1094
"HOT WATER",1095
"HOT WATER",1096
"SPACE HEAT",1097
"HOT AIR",1098
,1099
"HOT WATER",1100
"HOT WATER",1101
"HOT WATER",1102
"HOT AIR",1103
"HOT AIR",1104
"HOT AIR",1105
"HOT AIR",1106
"HOT AIR",1107
"HOT WATER",1108
"HOT AIR",1109
"HOT AIR",1110
"HOT AIR",1111
"HOT AIR",1112
,1113
"HOT WATER",1114
"HOT WATER",1115
"HOT WATER",1116
,1117
"HOT AIR",1118
"HOT AIR",1119
"HOT WATER",1120
"HOT AIR",1121
"HOT WATER",1122
"HOT AIR",1123
"HOT WATER",1124
"HOT WATER",1125
"HOT WATER",1126
"HOT AIR",1127
"HOT AIR",1128
"HOT WATER",1129
"HOT WATER",1130
"H WATER/RADI",1131
"HOT AIR",1132
"HOT AIR",1133
STEAM,1134
"HOT WATER",1135
"HOT AIR",1136
,1137
ELECTRIC,1138
"HOT WATER",1139
"HOT WATER",1140
"HOT AIR",1141
"HOT AIR",1142
"HOT AIR",1143
"HOT AIR",1144
"HOT AIR",1145
"HOT AIR",1146
"SPACE HEAT",1147
"HOT WATER",1148
"HOT WATER",1149
"HOT AIR",1150
"HOT WATER",1151
"HOT AIR",1152
"HOT WATER",1153
"SPACE HEAT",1154
"HOT AIR",1155
"HOT WATER",1156
,1157
"HOT AIR",1158
STEAM,1159
"HOT WATER",1160
"HOT WATER",1161
"HOT AIR",1162
"HOT AIR",1163
"HOT AIR",1164
"HOT AIR",1165
,1166
"HOT WATER",1167
"SPACE HEAT",1168
"HOT AIR",1169
"HOT AIR",1170
"HOT AIR",1171
"HOT AIR",1172
"HOT WATER",1173
"HOT AIR",1174
"HOT AIR",1175
,1176
"HOT WATER",1177
"HOT WATER",1178
"HOT WATER",1179
"HOT WATER",1180
"HOT AIR",1181
"SPACE HEAT",1182
"SPACE HEAT",1183
"SPACE HEAT",1184
"HOT WATER",1185
"HOT AIR",1186
"HOT AIR",1187
"HOT AIR",1188
"HOT AIR",1189
"HOT AIR",1190
"HOT WATER",1191
"HOT WATER",1192
"HOT WATER",1193
"HOT WATER",1194
"HOT WATER",1195
"HOT AIR",1196
"HOT AIR",1197
"HOT WATER",1198
"HOT AIR",1199
"HOT WATER",1200
"HOT AIR",1201
,1202
"SPACE HEAT",1203
"HOT WATER",1204
"SPACE HEAT",1205
,1206
HVAC,1207
"HOT WATER",1208
,1209
"HOT WATER",1210
STEAM,1211
"HOT AIR",1212
,1213
"HOT WATER",1214
"HOT WATER",1215
"HOT WATER",1216
"HOT WATER",1217
"SPACE HEAT",1218
"HOT AIR",1219
"RADIANT FLR",1220
"HOT WATER",1221
,1222
"HOT WATER",1223
"HOT AIR",1224
"HOT WATER",1225
"HOT WATER",1226
"HOT WATER",1227
"HOT WATER",1228
STEAM,1229
"HOT AIR",1230
"SPACE HEAT",1231
"HOT WATER",1232
UNHEATED,1233
"HOT AIR",1234
"HOT WATER",1235
"HOT AIR",1236
"HOT AIR",1237
"HOT WATER",1238
"HOT WATER",1239
"HOT AIR",1240
"SPACE HEAT",1241
"SPACE HEAT",1242
"HOT AIR",1243
"H WATER/RADI",1244
"HOT WATER",1245
"HOT AIR",1246
"HOT WATER",1247
"HOT AIR",1248
,1249
"HOT AIR",1250
"HOT WATER",1251
"HOT AIR",1252
"HOT AIR",1253
"HOT WATER",1254
"HOT WATER",1255
"HOT WATER",1256
STEAM,1257
"HOT AIR",1258
"HOT AIR",1259
"HOT WATER",1260
"RADIANT FLR",1261
"HOT AIR",1262
"HOT WATER",1263
"HOT AIR",1264
"HOT AIR",1265
"HOT AIR",1266
"HOT AIR",1267
,1268
"HOT AIR",1269
"SPACE HEAT",1270
"HOT WATER",1271
"HOT AIR",1272
"HOT AIR",1273
"HOT AIR",1274
"HOT AIR",1275
"HOT AIR",1276
"HOT AIR",1277
"HOT WATER",1278
"HOT WATER",1279
"HOT AIR",1280
,1281
"HOT WATER",1282
"HOT AIR",1283
"HOT WATER",1284
"HOT AIR",1285
"HOT WATER",1286
ELECTRIC,1287
"HOT AIR",1288
STEAM,1289
"HOT WATER",1290
"HOT WATER",1291
"HOT WATER",1292
"HOT WATER",1293
"HOT AIR",1294
"HOT WATER",1295
"HOT WATER",1296
"HOT WATER",1297
"HOT WATER",1298
"HOT AIR",1299
"HOT AIR",1300
"HOT WATER",1301
"SPACE HEAT",1302
"HOT WATER",1303
"HOT AIR",1304
"HOT WATER",1305
"HOT AIR",1306
"HOT AIR",1307
"HOT WATER",1308
"HOT AIR",1309
"HOT WATER",1310
"HOT AIR",1311
"HOT AIR",1312
"HOT AIR",1313
"HOT AIR",1314
"HOT AIR",1315
"SPACE HEAT",1316
"HOT WATER",1317
"HOT WATER",1318
"HOT WATER",1319
"HOT WATER",1320
"HOT WATER",1321
"HOT WATER",1322
"HOT AIR",1323
"HOT WATER",1325
"HOT AIR",1326
"HOT WATER",1327
"RADIANT FLR",1328
"HOT AIR",1329
"HOT WATER",1330
"SPACE HEAT",1331
"HOT WATER",1332
"HOT AIR",1333
"HOT WATER",1334
"HOT AIR",1335
"HOT AIR",1336
"HOT AIR",1337
STEAM,1338
"HOT AIR",1339
"HOT AIR",1340
"HOT WATER",1341
"HOT AIR",1342
"HOT WATER",1343
STEAM,1344
"HOT WATER",1345
"HOT WATER",1346
"HOT WATER",1347
"HOT AIR",1348
STEAM,1349
"HOT WATER",1350
STEAM,1351
"HOT WATER",1352
"SPACE HEAT",1353
HVAC,1354
"HOT WATER",1355
"HOT WATER",1356
"HOT WATER",1357
"HOT WATER",1358
"HOT AIR",1359
"HOT WATER",1360
"HOT WATER",1361
"HOT AIR",1362
"HOT WATER",1363
"HOT WATER",1364
STEAM,1365
"HOT AIR",1366
"HOT AIR",1367
"HOT WATER",1368
"HOT AIR",1369
"HOT WATER",1370
"HOT WATER",1371
"HOT AIR",1372
"HOT WATER",1373
"HOT WATER",1374
"HOT AIR",1375
"HOT WATER",1376
"HOT AIR",1377
,1378
"HOT AIR",1379
"HOT AIR",1380
"HOT AIR",1381
"HOT AIR",1382
"HOT WATER",1383
"HOT WATER",1384
"HOT AIR",1385
"HOT AIR",1386
"HOT AIR",1387
"HOT AIR",1388
"HOT WATER",1389
ELECTRIC,1390
"HOT WATER",1391
"HOT WATER",1392
"SPACE HEAT",1393
"HOT WATER",1394
"HOT AIR",1395
"HOT WATER",1396
"HOT WATER",1397
"SPACE HEAT",1398
"HOT WATER",1399
"HOT AIR",1400
"HOT AIR",1401
"HEAT PUMP",1402
"HOT AIR",1403
"HOT AIR",1404
"HOT AIR",1405
"HOT WATER",1406
"SPACE HEAT",1407
"HOT WATER",1408
"HOT WATER",1409
"HOT WATER",1410
"HOT AIR",1411
"HOT WATER",1412
"HOT AIR",1413
"HOT AIR",1414
"HOT WATER",1415
"SPACE HEAT",1416
"SPACE HEAT",1417
"HOT AIR",1418
"HOT WATER",1419
"HOT AIR",1420
"RADIANT FLR",1421
