CurrentValue,FID
497100,1001
235100,1002
1476300,1003
152500,1004
241900,1005
268000,1006
340800,1007
655800,1008
1905600,1009
586500,1010
208600,1011
519200,1012
435200,1013
248400,1014
250900,1015
138500,1016
348000,1017
288000,1018
264300,1019
264200,1020
2229200,1021
189800,1022
201200,1023
199000,1024
192100,1025
334400,1026
360000,1027
334700,1028
193800,1029
149500,1030
215600,1031
340300,1032
179400,1033
203200,1034
287000,1035
472200,1036
265500,1037
438700,1038
204300,1039
415500,1040
287100,1041
249500,1042
226800,1043
240300,1044
252000,1045
228100,1046
203400,1047
226800,1048
2909000,1049
199800,1050
185500,1051
219400,1052
201300,1053
233500,1054
208900,1055
558900,1056
405800,1057
437700,1058
240500,1059
277900,1060
388200,1061
40400,1062
25400,1063
386400,1064
5000,1065
304000,1066
200800,1067
268300,1068
205200,1069
1535700,1070
5200,1071
246900,1072
218800,1073
181700,1074
794700,1075
182800,1076
182900,1077
196000,1078
300200,1079
279300,1080
374200,1081
197800,1082
186600,1083
0,1084
452800,1085
272100,1086
262500,1087
241200,1088
14800,1089
911200,1090
254200,1091
231200,1092
203700,1093
197000,1094
310300,1095
158200,1096
135000,1097
224800,1098
7100,1099
210700,1100
99800,1101
277200,1102
190900,1103
386600,1104
112936,1105
9600,1106
560100,1107
230900,1108
280100,1109
196300,1110
225700,1111
215000,1112
23100,1113
267000,1114
141900,1115
247400,1116
5000,1117
306900,1118
235600,1119
310900,1120
214700,1121
193000,1122
269300,1123
351100,1124
254000,1125
174300,1126
252600,1127
219500,1128
271100,1129
281900,1130
204300,1131
372500,1132
497600,1133
482392,1134
110000,1135
208200,1136
182400,1137
126100,1138
444700,1139
358100,1140
203500,1141
212500,1142
228100,1143
949700,1144
213800,1145
287500,1146
158500,1147
452500,1148
138500,1149
173100,1150
274400,1151
212000,1152
157700,1153
135000,1154
427400,1155
1211800,1156
5000,1157
348300,1158
246800,1159
504300,1160
586300,1161
222500,1162
215700,1163
695500,1164
211500,1165
5000,1166
226300,1167
32400,1168
367800,1169
213100,1170
350000,1171
262100,1172
261900,1173
191500,1174
202900,1175
5000,1176
343000,1177
280200,1178
216100,1179
216400,1180
180400,1181
206100,1182
185400,1183
108100,1184
251600,1185
181400,1186
240300,1187
201700,1188
433300,1189
695800,1190
371000,1191
214000,1192
341600,1193
229700,1194
271300,1195
193500,1196
458800,1197
307200,1198
376900,1199
4849000,1200
311800,1201
277100,1202
222300,1203
288600,1204
625900,1205
333300,1206
4876300,1207
220300,1208
393700,1209
149500,1210
192000,1211
182900,1212
147700,1213
339500,1214
285000,1215
327700,1216
284200,1217
345500,1218
140900,1219
1819500,1220
205700,1221
13500,1222
271200,1223
215700,1224
247400,1225
227300,1226
205100,1227
550000,1228
5653700,1229
270000,1230
385500,1231
321600,1232
87200,1233
214000,1234
138500,1235
281300,1236
342100,1237
290700,1238
408900,1239
196300,1240
248700,1241
326800,1242
310500,1243
550800,1244
286600,1245
35200,1246
220100,1247
382900,1248
5000,1249
156000,1250
685700,1251
56200,1252
188300,1253
350300,1254
270100,1255
400800,1256
3233300,1257
140000,1258
197800,1259
291800,1260
316800,1261
283300,1262
249200,1263
179100,1264
219600,1265
245300,1266
155300,1267
344800,1268
191600,1269
181200,1270
237200,1271
155300,1272
677900,1273
314300,1274
295600,1275
267200,1276
198000,1277
349300,1278
328300,1279
243500,1280
5000,1281
192600,1282
254200,1283
205200,1284
231100,1285
712700,1286
219100,1287
135000,1288
343300,1289
108900,1290
225600,1291
460900,1292
852600,1293
388300,1294
199000,1295
215600,1296
186300,1297
456300,1298
991800,1299
258600,1300
209600,1301
166500,1302
469100,1303
11400,1304
418200,1305
170400,1306
217100,1307
510300,1308
1682300,1309
306500,1310
200800,1311
306000,1312
61500,1313
217100,1314
190300,1315
362800,1316
151800,1317
419200,1318
216100,1319
225500,1320
211900,1321
230300,1322
186400,1323
181400,1325
210200,1326
450800,1327
237000,1328
219400,1329
138500,1330
229500,1331
377300,1332
177300,1333
380700,1334
150700,1335
240400,1336
222000,1337
283100,1338
200500,1339
17900,1340
217500,1341
196700,1342
192100,1343
402800,1344
256400,1345
197100,1346
237100,1347
129700,1348
193200,1349
425000,1350
4155000,1351
196200,1352
288900,1353
2850800,1354
237200,1355
373400,1356
409100,1357
534000,1358
106700,1359
247000,1360
278600,1361
263400,1362
551500,1363
203800,1364
