YearBlt,FID
1890,1001
1950,1002
1899,1003
1912,1004
1899,1005
1986,1006
1910,1007
1950,1008
2013,1009
1899,1010
1899,1011
1932,1012
1899,1013
1989,1014
1938,1015
1992,1016
1993,1017
1899,1018
1989,1019
1905,1020
1890,1021
1899,1022
1955,1023
1953,1024
1954,1025
1942,1026
1904,1027
1899,1028
1866,1029
1992,1030
1899,1031
1904,1032
1899,1033
1970,1034
1996,1035
1975,1036
1910,1037
1930,1038
1910,1039
1925,1040
1961,1041
1899,1042
1949,1043
1986,1044
0,1045
1899,1046
1954,1047
1899,1048
1931,1049
1983,1050
1953,1051
1970,1052
1997,1053
1899,1054
1954,1055
1899,1056
1969,1057
2002,1058
1944,1059
2007,1060
1899,1061
1930,1062
1995,1063
1995,1064
0,1065
1899,1066
1956,1067
1964,1068
1940,1069
1970,1070
0,1071
1973,1072
1923,1073
2007,1074
1899,1075
1988,1076
1958,1077
1984,1078
1958,1079
1934,1080
1992,1081
1946,1082
1970,1083
2014,1084
1997,1085
1938,1086
1925,1087
1974,1088
1978,1089
1900,1090
1968,1091
1980,1092
1965,1093
1970,1094
1983,1095
1899,1096
1985,1097
1940,1098
0,1099
1955,1100
1899,1101
1990,1102
1951,1103
1924,1104
1910,1105
1959,1106
1995,1107
1950,1108
1955,1109
1959,1110
1955,1111
1949,1112
0,1113
1920,1114
1899,1115
1986,1116
0,1117
1899,1118
1899,1119
1960,1120
1930,1121
1899,1122
1933,1123
1910,1124
1910,1125
1899,1126
1910,1127
1869,1128
1977,1129
1973,1130
1899,1131
1899,1132
1910,1133
1900,1134
1992,1135
1956,1136
0,1137
1987,1138
1899,1139
1955,1140
1899,1141
1899,1142
1993,1143
1899,1144
1899,1145
1950,1146
1899,1147
1798,1148
1992,1149
1986,1150
1930,1151
1955,1152
1988,1153
1985,1154
1899,1155
1949,1156
0,1157
1899,1158
1928,1159
1952,1160
1899,1161
1940,1162
1946,1163
1960,1164
1934,1165
0,1166
1993,1167
1920,1168
1996,1169
1948,1170
1899,1171
1910,1172
1959,1173
1965,1174
1899,1175
0,1176
1899,1177
1960,1178
1988,1179
1899,1180
1899,1181
1899,1182
1899,1183
1969,1184
1955,1185
1955,1186
1986,1187
1956,1188
1915,1189
2002,1190
1927,1191
1954,1192
1954,1193
1987,1194
1920,1195
1954,1196
1955,1197
2006,1198
1928,1199
1967,1200
1899,1201
1899,1202
1910,1203
1993,1204
1895,1205
0,1206
2011,1207
1974,1208
0,1209
1992,1210
1940,1211
1951,1212
0,1213
1940,1214
1953,1215
1899,1216
1986,1217
1928,1218
1899,1219
2009,1220
1971,1221
0,1222
1946,1223
1959,1224
1920,1225
1991,1226
1899,1227
1899,1228
1981,1229
1926,1230
1966,1231
1940,1232
1907,1233
1899,1234
1992,1235
1899,1236
1899,1237
1922,1238
1899,1239
1958,1240
1915,1241
1889,1242
1932,1243
1832,1244
1990,1245
2000,1246
1950,1247
1899,1248
0,1249
1991,1250
1999,1251
2002,1252
1954,1253
1986,1254
1910,1255
1993,1256
1895,1257
1987,1258
1952,1259
1912,1260
2005,1261
1928,1262
1957,1263
1915,1264
1960,1265
1958,1266
1991,1267
0,1268
1950,1269
1966,1270
1910,1271
1991,1272
1928,1273
1904,1274
1925,1275
1923,1276
1940,1277
1899,1278
1895,1279
1955,1280
0,1281
1953,1282
1955,1283
1973,1284
1920,1285
1893,1286
1990,1287
1932,1288
1899,1289
1920,1290
1958,1291
1965,1292
1925,1293
1899,1294
1970,1295
1950,1296
1899,1297
1885,1298
1964,1299
1899,1300
1899,1301
1927,1302
1960,1303
1970,1304
1953,1305
1956,1306
1903,1307
1899,1308
2008,1309
1946,1310
1960,1311
1910,1312
2005,1313
1968,1314
1967,1315
1978,1316
1990,1317
1988,1318
1988,1319
1899,1320
1899,1321
1930,1322
1944,1323
1899,1325
1954,1326
1845,1327
1899,1328
1980,1329
1992,1330
1894,1331
1996,1332
1954,1333
1930,1334
1987,1335
1958,1336
1958,1337
1910,1338
1899,1339
1988,1340
1920,1341
1957,1342
1957,1343
1993,1344
1986,1345
1986,1346
1915,1347
1900,1348
1920,1349
1940,1350
1945,1351
1900,1352
1899,1353
1999,1354
1932,1355
1938,1356
1978,1357
1987,1358
1971,1359
1978,1360
2007,1361
1959,1362
1982,1363
1934,1364
1925,1365
1955,1366
1991,1367
1999,1368
1899,1369
1954,1370
1899,1371
1950,1372
1968,1373
1954,1374
1946,1375
1973,1376
1957,1377
0,1378
1965,1379
1958,1380
1899,1381
1958,1382
1968,1383
1969,1384
1899,1385
1899,1386
1956,1387
1919,1388
1995,1389
1976,1390
1868,1391
1899,1392
1974,1393
1920,1394
1899,1395
1899,1396
1986,1397
1976,1398
1910,1399
1899,1400
1900,1401
2007,1402
1968,1403
1935,1404
1905,1405
1925,1406
1830,1407
1992,1408
1986,1409
1960,1410
1925,1411
1934,1412
1954,1413
1935,1414
1899,1415
1900,1416
1875,1417
1935,1418
1910,1419
1929,1420
1977,1421
1967,1422
1910,1423
1899,1424
1951,1425
1840,1426
1993,1427
1980,1428
1969,1429
1942,1430
1965,1431
1965,1432
1899,1433
1899,1434
1899,1435
0,1436
1899,1437
1899,1438
1963,1439
1920,1441
1893,1442
1910,1443
1948,1444
1945,1445
1986,1446
1899,1447
1985,1448
1938,1449
1958,1450
1990,1451
1987,1452
1910,1453
1928,1454
1954,1455
1968,1456
1992,1457
1990,1458
1965,1459
1965,1460
1899,1461
1992,1462
1960,1463
1896,1464
1983,1465
1899,1466
1978,1467
1987,1468
0,1469
1896,1470
1910,1471
1955,1472
1954,1473
1956,1474
1899,1475
1960,1476
1979,1477
1910,1478
1950,1479
1936,1480
1904,1481
1950,1482
1964,1483
1961,1484
1945,1485
1930,1486
1992,1487
1899,1488
1940,1489
1995,1490
1899,1491
1955,1492
1899,1493
0,1494
1880,1495
1955,1496
1885,1497
1901,1498
0,1499
1992,1500
1947,1501
1991,1502
1931,1503
1958,1504
1911,1505
1947,1506
1899,1507
0,1508
1899,1509
1987,1510
1932,1511
1961,1512
1992,1513
1952,1514
1968,1515
1946,1516
1947,1517
1989,1518
1990,1519
1922,1520
1830,1521
1986,1522
1924,1523
1899,1524
1953,1525
1899,1526
1920,1527
1970,1528
2002,1529
1920,1530
1899,1531
1958,1532
1958,1533
1951,1534
1899,1535
1980,1536
1959,1537
0,1538
1899,1539
1972,1540
1899,1541
1899,1542
1947,1543
0,1544
1952,1545
1971,1546
1964,1547
1929,1548
1957,1549
1987,1550
1899,1551
1987,1552
1954,1553
1945,1554
1988,1555
1976,1556
1951,1557
1978,1558
1927,1559
1995,1560
2004,1561
1940,1562
1952,1563
1930,1564
1930,1565
1915,1566
1962,1567
1899,1568
1950,1569
1996,1570
1975,1571
1992,1572
1962,1573
1992,1574
1927,1575
1992,1576
1967,1577
1984,1578
1899,1579
1915,1580
1899,1581
1951,1582
1935,1583
2000,1584
1992,1585
1934,1586
1991,1587
1938,1588
1956,1589
1960,1590
1974,1591
1920,1592
1928,1593
1930,1594
1899,1595
0,1596
1962,1597
1991,1598
1910,1599
1954,1600
1920,1601
1970,1602
1986,1603
1960,1604
1992,1605
1976,1606
1957,1607
1900,1608
1950,1609
1957,1610
1965,1611
1953,1612
1940,1613
1969,1614
1987,1615
1941,1616
1960,1617
1955,1618
1969,1619
1925,1620
2006,1621
1899,1622
1950,1623
1910,1624
1899,1625
1954,1626
1952,1627
1899,1628
1899,1629
1987,1630
1906,1631
1925,1632
1987,1633
1950,1634
1959,1635
1938,1636
1971,1637
1899,1638
0,1639
1910,1640
1899,1641
1996,1642
1952,1643
1899,1644
1954,1645
1899,1646
1986,1647
1899,1648
1900,1649
1996,1650
1992,1651
1899,1652
1950,1653
1964,1654
1939,1655
0,1656
1979,1657
1950,1658
1910,1659
1987,1660
1899,1661
1986,1662
1928,1663
1958,1664
1899,1665
1987,1666
1899,1667
1997,1668
1917,1669
1930,1670
1948,1671
1930,1672
1920,1673
1899,1674
1920,1675
1937,1676
1910,1677
1952,1678
1964,1679
1997,1680
1944,1681
1910,1682
1922,1683
1963,1684
1899,1685
1990,1686
1968,1687
1948,1688
0,1689
1998,1690
1993,1691
1884,1692
1971,1693
1905,1694
1929,1695
1899,1696
1993,1697
1937,1698
2006,1699
0,1700
1899,1701
1990,1702
1954,1703
1905,1704
1920,1705
1890,1706
1930,1707
1899,1708
1876,1709
0,1710
1927,1711
0,1712
1969,1713
1990,1714
1949,1715
1905,1716
1955,1717
1950,1718
1970,1719
1899,1720
1950,1721
1952,1722
1866,1723
1969,1724
1979,1725
1949,1726
1963,1727
1935,1728
1990,1729
1969,1730
1894,1731
1910,1732
0,1733
1920,1734
1993,1735
1960,1736
1995,1737
1899,1738
1966,1739
1850,1740
1956,1741
1899,1742
0,1743
1974,1744
1899,1745
1930,1746
1964,1747
1974,1748
1865,1749
2005,1750
1860,1751
1989,1752
1957,1753
1899,1754
1988,1755
2002,1756
1899,1757
1976,1758
1924,1759
2002,1760
1969,1761
1987,1762
1950,1763
1971,1764
1986,1765
1899,1766
1971,1767
1910,1768
1989,1769
1899,1770
1899,1771
1958,1772
1956,1773
1960,1774
1928,1775
1829,1776
0,1777
1970,1778
0,1779
1888,1780
1902,1781
1928,1782
1937,1783
2002,1784
1996,1785
1969,1786
1970,1787
1910,1788
1992,1789
1910,1790
1925,1791
1910,1792
1899,1793
1872,1794
1954,1795
1971,1796
1952,1797
1969,1798
1965,1799
1890,1800
0,1801
1951,1802
1986,1803
1899,1804
1899,1805
1937,1806
1956,1807
1915,1808
1976,1809
1947,1810
1951,1811
1955,1812
1910,1813
1928,1814
1899,1815
1995,1816
1977,1817
1920,1818
1899,1819
1969,1820
1957,1821
1920,1822
1965,1823
1960,1824
1982,1825
1930,1826
1899,1827
1987,1828
1899,1829
1920,1830
2006,1831
1880,1832
1981,1833
1948,1834
1899,1835
1899,1836
1915,1837
1952,1838
1986,1839
1910,1840
1950,1841
1970,1842
1986,1843
1899,1844
1986,1845
1915,1846
1966,1847
1966,1848
1905,1849
1899,1850
1899,1851
1926,1852
1990,1853
1930,1854
1934,1855
1952,1856
1993,1857
1900,1858
1899,1859
1950,1860
2006,1861
1954,1862
1899,1863
1991,1864
1992,1865
1954,1866
1965,1867
1948,1868
1945,1869
1997,1870
1950,1871
1915,1872
1971,1873
1956,1874
1956,1875
1959,1876
1955,1877
1918,1878
2014,1879
1958,1880
1899,1881
1949,1882
1992,1883
1900,1884
1991,1885
1970,1886
0,1887
1899,1888
1969,1889
1953,1890
1940,1891
1994,1892
1985,1893
1972,1894
1988,1895
1927,1896
1953,1897
1933,1898
1900,1899
1948,1900
1947,1901
1995,1902
1899,1903
1934,1904
1990,1905
1985,1906
1899,1907
1890,1908
1925,1909
0,1910
1934,1911
1899,1912
1899,1913
1900,1914
1988,1915
1899,1916
1930,1917
1910,1918
