StreetName,FID
"MANSFIELD AV",1001
"LOCUST TR",1002
"ST PAUL ST",1003
"MARBLE AV",1004
"ST LOUIS ST",1005
"NORTHSHORE DR",1006
"ADSIT CT",1007
"CRESCENT RD",1008
"NORTH AV",1009
"MAPLE ST",1010
"HICKOK PL",1011
"HILLCREST RD",1012
"ISHAM ST",1013
"LAKE FOREST DR",1014
"COLONIAL SQ",1015
"HILDRED DR",1016
"MUIRFIELD RD",1017
"NASH PL",1018
"LAKE FOREST DR",1019
"GREENE ST",1020
"SOUTH WILLIAMS ST",1021
"HAYWARD ST",1022
"EDGEMOOR DR",1023
"FERN ST",1024
"WEST RD",1025
"SHELBURNE ST",1026
"MONROE ST",1027
"GRANT ST",1028
"NORTH ST",1029
"HILDRED DR",1030
"WALNUT ST",1031
"ADSIT CT",1032
"NORTH CHAMPLAIN ST",1033
"FAITH ST",1034
"NORTH WINOOSKI AV",1035
"SOUTH COVE RD",1036
"HICKOK PL",1037
"OVERLAKE PK",1038
"HICKOK PL",1039
"HENDERSON TR",1040
"HOME AV",1041
"INTERVALE AV",1042
"LOALDO DR",1043
"NORTHSHORE DR",1044
"OVERLAKE PK",1045
"SOUTH UNION ST",1046
"ALGIRD ST",1047
"MONROE ST",1048
"CHURCH ST",1049
"SOUTH WILLARD ST",1050
"TRACY DR",1051
"GAZO AV",1052
"COLLEGE ST",1053
"GERMAIN ST",1054
"ARLINGTON CT",1055
"COLLEGE ST",1056
"DUNDER RD",1057
"CLAIRE POINTE RD",1058
"SUNSET CT",1059
"ST PAUL ST",1060
"POMEROY ST",1061
"INSTITUTE RD",1062
"AVENUE B",1063
"NOTTINGHAM LN",1064
"NORTH AV",1065
"HOWARD ST",1066
"CROSS PW",1067
"BIRCHCLIFF PW",1068
"OAKLAND TR",1069
"PINE ST",1070
"INTERVALE RD",1071
"PLEASANT AV",1072
"RUSSELL ST",1073
"EAST VILLAGE DR",1074
"HYDE ST",1075
"NORTH AV",1076
"GOSSE CT",1077
"AUSTIN DR",1078
"LINDEN TR",1079
"NORTH ST",1080
"NOTTINGHAM LN",1081
"YORK DR",1082
"SUNSET DR",1083
"ST PAUL ST",1084
"COLLEGE ST",1085
"FERGUSON AV",1086
"LYMAN AV",1087
"VAN PATTEN PW",1088
"AVENUE C",1089
"COLLEGE ST",1090
"LOPES AV",1091
"MAIN ST",1092
"CURTIS AV",1093
"SANDRA CR",1094
"VAN PATTEN PW",1095
"PERU ST",1096
"HYDE ST",1097
"VEST HAVEN DR",1098
"RIVERSIDE AV",1099
"COLLEGE ST",1100
"NORTH WINOOSKI AV",1101
"SOUTHWIND DR",1102
"ALGIRD ST",1103
"MAPLE ST",1104
"VOLZ ST",1105
"AVENUE C",1106
"LAKE ST",1107
"BRANDYWINE ST",1108
"PROSPECT PW",1109
"DEWEY DR",1110
"CROSS PW",1111
"FERGUSON AV",1112
"LEDGE RD",1113
"FERGUSON AV",1114
"MANHATTAN DR",1115
"NORTHSHORE DR",1116
"NORTH CHAMPLAIN ST",1117
"CONVERSE CT",1118
"NORTH ST",1119
"CASE PW",1120
"LUDWIG CT",1121
"CENTRAL AV",1122
"HOOVER ST",1123
"LAFOUNTAIN ST",1124
"NORTH WINOOSKI AV",1125
"PARK ST",1126
"GREENE ST",1127
"SPRING ST",1128
"JANET CR",1129
"STIRLING PL",1130
"ROSE ST",1131
"LAKESIDE AV",1132
"LOOMIS ST",1133
"SOUTH WILLARD ST",1134
"HILDRED DR",1135
"LEONARD ST",1136
"SOUTH WINOOSKI AV",1137
"SOUTH WILLIAMS ST",1138
"WILSON ST",1139
"CRESCENT BEACH DR",1140
"LYMAN AV",1141
"ELMWOOD AV",1142
"ARTHUR CT",1143
"MAIN ST",1144
"POMEROY ST",1145
"RICHARDSON ST",1146
"HARRISON AV",1147
"BATTERY ST",1148
"HILDRED DR",1149
"NORTH VIEW DR",1150
"RIVERS EDGE DR",1151
"CROSS PW",1152
"NORTH WINOOSKI AV",1153
"HYDE ST",1154
"HOWARD ST",1155
"DEFOREST RD",1156
"MANHATTAN DR",1157
"WESTON ST",1158
"CHARLOTTE ST",1159
"FAIRMOUNT ST",1160
"COLCHESTER AV",1161
"STANIFORD RD",1162
"HOOVER ST",1163
"PINE ST",1164
"PERROTTA PL",1165
"SHERMAN ST",1166
"BIRCH CT",1167
"DREW ST",1168
"APPLETREE POINT RD",1169
"WOODBURY RD",1170
"WESTON ST",1171
"SCARFF AV",1172
"DALE RD",1173
"TURF RD",1174
"POPLAR ST",1175
"CROWLEY ST",1176
"NORTH CHAMPLAIN ST",1177
"PINE ST",1178
"NORTH AV",1179
"NORTH WINOOSKI AV",1180
"CONVENT SQ",1181
"INTERVALE AV",1182
"CLOAREC CT",1183
"AUSTIN DR",1184
"EAST AV",1185
"GREEN ACRES DR",1186
"NORTHSHORE DR",1187
"VINE ST",1188
"HUNGERFORD TR",1189
"LAKE ST",1190
"NORTH ST",1191
"VINE ST",1192
"GLEN RD",1193
"CUMBERLAND RD",1194
"NORTH AV",1195
"BIRCH CT",1196
"MAIN ST",1197
"SOUTH WILLIAMS ST",1198
"UNIVERSITY TR",1199
"NORTH CHAMPLAIN ST",1200
"LAKESIDE AV",1201
"ST PAUL ST",1202
"JOHNSON ST",1203
"GREY MEADOW DR",1204
"SOUTH WILLARD ST",1205
"PINE ST",1206
"NORTH AV",1207
"FAITH ST",1208
"COLCHESTER AV",1209
"HILDRED DR",1210
"CAYUGA CT",1211
"ARLINGTON CT",1212
"ADAMS ST",1213
"SOUTH PROSPECT ST",1214
"SOUTH PROSPECT ST",1215
"SCHOOL ST",1216
"NORTHSHORE DR",1217
"WARD ST",1218
"KING ST",1219
"DRIFTWOOD LN",1220
"JAMES AV",1221
"DANS CT",1222
"BILODEAU CT",1223
"DALE RD",1224
"SCARFF AV",1225
"EASTMAN FARM RD",1226
"LAFOUNTAIN ST",1227
"SOUTH WILLARD ST",1228
"CARRIGAN DR",1229
"LYMAN AV",1230
"GOSSE CT",1231
"ELM TR",1232
"STARR FARM BC",1233
"NORTH WILLARD ST",1234
"HILDRED DR",1235
"NORTH PROSPECT ST",1236
"NORTH CHAMPLAIN ST",1237
"SOUTH WINOOSKI AV",1238
"SOUTH UNION ST",1239
"PINE ST",1240
"KING ST",1241
"SOUTH UNION ST",1242
"REDSTONE TR",1243
"SOUTH WILLARD ST",1244
"SOUTHWIND DR",1245
"AVENUE B",1246
"EAST AV",1247
"BUELL ST",1248
"MYRTLE ST",1249
"BORESTONE LN",1250
"MANSFIELD AV",1251
"AVENUE B",1252
"PENNINGTON DR",1253
"NORTHSHORE DR",1254
"RIVERSIDE AV",1255
"WESTMINSTER DR",1256
"COLCHESTER AV",1257
"FAIRMONT PL",1258
"VILLAGE GN",1259
"CATHERINE ST",1260
"SOUTH WINOOSKI AV",1261
"CATHERINE ST",1262
"VILLAGE GN",1263
"CHARLES ST",1264
"CHERRY LN",1265
"FOSTER ST",1266
"RIVERS EDGE DR",1267
"PEARL ST",1268
"LEONARD ST",1269
"NORTH COVE RD",1270
"CATHERINE ST",1271
"RIVERS EDGE DR",1272
"OVERLAKE PK",1273
"FLYNN AV",1274
"BEECH ST",1275
"FERGUSON AV",1276
"STANIFORD RD",1277
"SOUTH UNION ST",1278
"NORTH WILLARD ST",1279
"KILLARNEY DR",1280
"NORTH AV",1281
"SHORE RD",1282
"FERN ST",1283
"PLEASANT AV",1284
"COLCHESTER AV",1285
"PEARL ST",1286
"SOUTH WILLIAMS ST",1287
"OAK ST",1288
"NORTH PROSPECT ST",1289
"STARR FARM BC",1290
"NORTH AV",1291
"SOUTH WILLARD ST",1292
"LEDGE RD",1293
"KING ST",1294
"GAZO AV",1295
"OAKLAND TR",1296
"PARK ST",1297
"SOUTH UNION ST",1298
"CRESCENT BEACH DR",1299
"GEORGE ST",1300
"PARK ST",1301
"STARR FARM BC",1302
"CLIFF ST",1303
"AVENUE C",1304
"SOUTH PROSPECT ST",1305
"WOODLAWN RD",1306
"BOOTH ST",1307
"SOUTH WILLARD ST",1308
"KING ST",1309
"HOWARD ST",1310
